0950B41C	California Agriculture
07B39752	Educational Assessment
07BEBE1A	AMWA Journal
07C1A68B	Child & Youth Services
07D0EACD	Psychiatrische Praxis
07D160DE	Analytical Cellular Pathology
07D213F9	Potravinarstvo
07DEDB5A	New Republic
07EFA090	Polymers & Polymer Composites
080985A9	Neuroimmunomodulation
08161C1F	International Journal of Electronic Banking
08194379	Teaching in Higher Education
081C2F7F	European Romantic Review
081D5916	Progress in Retinal Research
081FFCE7	Advances in Lipobiology
0826FFA3	Developing World Bioethics
082FF36D	Contributions To Political Economy
0836A8D6	Foundations of Science
08418910	International Journal of Older People Nursing
084898C6	Islamic Law and Society
084DC0CA	Contemporary Justice Review
084F53A5	Research Letters in Physical Chemistry
0853F6A2	Spie Professional
08579633	Ichthyological Exploration of Freshwaters
085921C0	Human Resource Development International
085B0576	Clean Products and Processes
085B1211	Annales de la Faculté des Sciences de Toulouse
0862E71C	Central European Geology
0864A7C4	Educational Leadership
0866EF06	Chemical Engineering Communications
08A4AD11	Journal of The Royal Statistical Society Series B-statistical Methodology
08C78FD9	Bulletin De L'institut Pasteur
08CF47C0	Psychologie & Gezondheid
08CFF577	Society & Animals
08DA42B2	International Journal of Parallel Programming
08DE9C2C	Journal of Nematology
08E68739	Journal of Wood Chemistry and Technology
08F7700F	Journal of Nutritional Science and Vitaminology
08FC5D9C	Journal of Psychosocial Oncology
090581AA	Genetics and Molecular Biology
090A9300	Strain
091634CD	Oral and Maxillofacial Surgery
091E2E1B	International Journal of Lean Six Sigma
091E42D3	International Journal of Childrens Spirituality
09217C06	Tropical Animal Health and Production
0929315B	Prospects
092CA925	Der Markt
09302157	Seminars in Cancer Biology
0939CFE8	Advances in Optoelectronics
0966D364	Evidence-based Medicine
0969CA37	International Journal of Speech Language and The Law
0975F212	The Journal of Medical Investigation
0986FB43	Revista Brasileira De Terapia Intensiva
098E0358	Journal of Balkan and Near Eastern Studies
099BDDAA	The Journal of Mathematical Behavior
09A2C9AD	Earthquake Engineering and Engineering Vibration
09A52C38	Geologos
09A68889	Stomatoloski Glasnik Srbije
09C5843A	Proceedings of The Glasgow Mathematical Association
09D97628	The Open Spectroscopy Journal
09E7E4B2	Perinatalmedizin
09F57073	Ius Et Praxis
0A0B4B22	Interiors: Design, Architecture and Culture
0A212F44	Ramanujan Journal
0A267522	The Open Food Science Journal
0A3DA7BE	Metroeconomica
0A4011A4	Transition: An International Review
0A5B3B8C	Mineralogical Magazine
0A64413B	Rorschachiana: Journal of The International Society for The Rorschach
0A792CE5	The Open Transport Phenomena Journal
0A81BE9D	Perspectives in Plant Ecology Evolution and Systematics
0A8861F3	Mechanics of Materials
0AA00182	Empirical Economics
0AB0B1EB	Kathmandu University Medical Journal
0AC98A6D	The Kurume Medical Journal
0ACBA37D	Australian Endodontic Journal
0ACBA9BF	Continental Shelf Research
0AD3E703	Information Systems Frontiers
0AE3CBB0	European Journal of Histochemistry
0AE5D317	Journal of Information Recording
0AF102DD	Infections in Medicine
0AF6B1EE	Sustainability Accounting, Management and Policy Journal
0B0333E4	Interactive Surgery
0B1D779C	Psychometrika
0B2E99F6	Journal of Intellectual Property Rights
0B5A78DE	Ciencia Y Tecnologia Alimentaria
0B62622E	Nuclear Technology
0B628A17	International Review of Environmental and Resource Economics
0B65603D	Mediterranean Quarterly
0B66191D	Imf Staff Papers
0B7EB72E	Representation Theory of The American Mathematical Society
0B84E17D	Journal of The Royal Society for The Promotion of Health
0B894D00	Journal of Hematotherapy & Stem Cell Research
0B942AA9	Neuron Glia Biology
0B9601C7	Evaluation News
0B9658CE	Journalism Practice
0BA9DB49	Light & Engineering
0BB4F59A	International Journal of Self Help and Self Care
0BC1F117	The Open Construction and Building Technology Journal
0BC3A3C6	Journal of Russian Laser Research
0BCA4B9B	Caring for The Ages
0BCCDE9A	Przegląd Elektrotechniczny
0BCE7BF9	Praxis Der Informationsverarbeitung Und Kommunikation
0BEA7BB9	Current Surgery
0BEC7B57	International Journal of Web and Grid Services
0BECDF26	Journal of Cancer
0BF752E0	Lingua Nostra
0C05DA5D	Government Information Quarterly
0C0874E6	Advances in Synchrotron Radiation
0C142580	Vestnik Otdelenia Nauk O Zemle Ran
0C1B8974	Acta Virologica
0C2E4404	Der Staat
0C367596	Lc Gc Europe
0C390EA5	Nordic Theatre Studies
0C3926A1	Annales Umcs, Biologia
0C3C3C51	Boletin De La Asociacion De Geografos Espanoles
0C4A68B2	Infection and Chemotherapy
0C4C2E24	Metal-based Drugs
0C4D4E0E	Liver International
0C60DF75	English in Education
38DD6409	Texte-revue De Critique Et De Theorie Litteraire
393F11F0	Mer-marine Engineers Review
39535F77	Economia Chilena
395FAEA8	Theoria-revista De Teoria Historia Y Fundamentos De La Ciencia
39D6FB87	Obesity and Metabolism-milan
39EE12D2	Theater Heute
39F258AB	Metalurgia International
3A18C17B	Anadolu Psikiyatri Dergisi-anatolian Journal of Psychiatry
3A4908F3	Mausam
3A4D1536	Gewerblicher Rechtsschutz und Urheberrecht, Rechtsprechungs-Report
3B65B967	Annals of Clinical and Laboratory Science
3BF6C226	Revista Internacional De Contaminacion Ambiental
3C0F1C1A	Otechestvennaya Istoriya
3C245433	Synthesis-la Plata
3C2F9ED3	Historia
3C842C4E	Journal of Oregon Ornithology
3CFA4E2C	Essays & Studies
3D87EAA4	Advances in Vibration Engineering
3E4766E9	Eksploatacja I Niezawodnosc-maintenance and Reliability
3D0CA4AB	Journal of Discourses
0C43E1FE	The Journal of Clinical Endocrinology and Metabolism
0836BA81	Philosophical Perspectives
0067A082	Physical Review B
09F09B1D	Social Text
03B82D84	Journal of the American Statistical Association
09ECD307	Human Molecular Genetics
0098C8B7	Pediatric Nursing
01999853	Nature Reviews Neuroscience
0481FC57	Psychological Bulletin
023A8C63	ACS Catalysis
01917F0C	International Journal of Biological Sciences
01206F2B	Discrete Mathematics
09A110A2	Journal of Contemporary History
0345471F	Abstract and Applied Analysis
06BEF8BF	The Analysis of Verbal Behavior
073B83FF	Journal of Comparative and Physiological Psychology
035FAAC7	The English Historical Review
0351870D	Current Pharmaceutical Design
0545E271	West Virginia Law Review
06F6A1AB	JOM
03855A7A	Journal of Genocide Research
094BEFB6	Neuro-Ophthalmology
048C5239	Investigative Ophthalmology & Visual Science
0B42DDB9	Journal of Church and State
09CC8484	Speculum
005B56E3	Database
012CCF13	Journal of Urban History
0A277545	Analytical Methods
08189F8B	Journal of Counseling Psychology
059564D2	Modern Language Review
0044AE7A	Archive for History of Exact Sciences
059F1C4A	Colloids and Surfaces A: Physicochemical and Engineering Aspects
0B2842EC	Microbiology and Molecular Biology Reviews
06F736F3	Journal of Medicine
0229B26B	The Arkansas Historical Quarterly
073D108B	Global Media and Communication
068FD2C0	Biomedical Materials
0091BCFE	International Journal of Central Banking
0302EE2A	IEEE Transactions on Magnetics
03F5D1AA	The American Journal of Gastroenterology
01F19AA4	Journal of Experimental Botany
001BD697	Autism
05AE609B	Leadership
0834AE78	Biochemical Society Transactions
07E5E070	Experimental Cell Research
3B7DC261	The Journal of Law and Economics
058F294F	Underwater Technology
02AED7A1	NMR in Biomedicine
03145288	Expert Opinion on Drug Delivery
09C1B952	Feminist Theology
05AED92C	Deutsche Zeitschrift für Philosophie
08B99570	International Journal of Business and Emerging Markets
08AD549F	American Journal of Pathology
03C2F037	Plant Pathology
003B6413	DNA Repair
00403034	Journal of Raman Spectroscopy
08651413	Review of Environmental Economics and Policy
05F0EBB9	History of Religions
0BA55AD7	The George Washington International Law Review
0709CAE7	International Journal of Urban and Regional Research
0BBC3641	Pennsylvania History: A Journal of Mid-Atlantic Studies
3D6C2A85	Scanning: The Journal of Scanning Microscopies
097E7119	Journal of Systematic Palaeontology
08309BA8	French Politics, Culture & Society
063C07F1	Landscape and Urban Planning
08120160	Dermatology
09630977	Journal of Travel Research
061B103B	New Astronomy
088F3C3B	Journal of Electroanalytical Chemistry
063FBC17	Acadiensis
02FF6CD6	New Review of Film and Television Studies
37EC449A	Psihijatrija danas
07394C30	African Journal of Marine Science
0168DB23	Bulletin of the Astronomical Society of India
0578A8FF	Journal of Business & Securities Law
0BA58414	Proceedings of the Institution of Mechanical Engineers, Part P: Journal of Sports Engineering and Technology
0BB1F11C	Indiana University Mathematics Journal
05F9BD94	Vascular and Endovascular Surgery
06E5D235	Läkartidningen
07B24705	International Journal of Rock Mechanics and Mining Sciences
0868A1C6	Acta Arithmetica
0105A839	International Journal of Cooperative Information Systems
028A120F	Current Issues in Intestinal Microbiology
06BA6784	Sojourn
07647F17	Philosophical Investigations
07A328B3	Journal of Cases in Educational Leadership
07A4F1E7	Formal Aspects of Computing
0052F9B3	Statistics and Computing
00B5F07B	Zeitschrift für Kulturphilosophie
05440A88	Mathematics of Control, Signals, and Systems
05BCBAB1	Cognitive Systems Research
066DCC84	Journal of Biological Inorganic Chemistry
37BFFC87	Journal of Advances in Information Fusion
3E21B5A3	L'Intermédiaire des Mathématiciens
002C27A1	Acta Scientiarum Mathematicarum
01070CCE	Clinical & Experimental Allergy
3DC8CC33	Archivium Hibernicum
00099FA6	European Journal of Industrial Relations
05BC0874	Welsh Music History
09B518FA	Ars Disputandi
00013CE7	European Heart Journal Supplements
0004EEA5	Accounting and Business Research
0007DA65	Pleine Marge
00249A8B	Scandinavian Journal of Nutrition
002BBF28	Advances in Condensed Matter Physics
0045E5A8	Ethical Human Psychology and Psychiatry
0052FAC6	Pamietnik Literacki
0058D83B	The Journal of Surgery
0058E263	TUGboat
005AF9C3	Acta Cybernetica
005B3553	IEEE Transactions on Component Parts
005D185B	Bulletin of The British Society for The History of Science
00664F7E	Acta Pathologica Microbiologica Scandinavica Section B Microbiology and Immunology
0069EC18	Theoretical Informatics and Applications
006D62B6	Journal of Adaptation in Film & Performance
0076C453	Critical Reviews in Eukaryotic Gene Expression
00792117	Icon-international Journal of Constitutional Law
007C19AE	Research in International Business and Finance
00824533	Australian Aboriginal Studies
00864EEF	Future Rheumatology
008D068E	Poetry Review
008FB392	Contemporanea
0096DACB	Breastfeeding Medicine
00A0D6AA	Transactions of The Ire Professional Group on Radio Telemetry and Remote Control
00A3882A	Transactions of The Ire Professional Group on Electron Devices
00A505EA	Canadian Psychological Review\/psychologie Canadienne
00A7C778	Ipsj Transactions on Computer Vision and Applications
00AABEE3	Electronic Colloquium on Computational Complexity
00AB7065	Revista Da Associacao Medica Brasileira
00ACB128	International Journal of Strategic Decision Sciences
00B07635	Transplantation
00C06969	Techniques in Orthopaedics
00C7D7EB	Ethics and Information Technology
00CC77C2	Journal of The Illuminating Engineering Society
00D8BD23	Asia Pacific Journal on Human Rights and The Law
00D97B3C	Journal of Navigation
00E8B023	Japanese Journal of Limnology (rikusuigaku Zasshi)
00EB177C	Journal of Mechanisms
00F0A691	Journal of Nanotechnology
00F2CF46	Symbolae Osloenses
00F2DBD3	Australian Voice
00FA375A	International Journal of Poultry Science
00FE9E2D	Hydrology Research
00FF7FF9	Aila Review
0100E1BB	Journal of Building Appraisal
01051D16	International Free and Open Source Software Law Review
01057228	Neurorx
0107700F	Entomological Review
010BCBCE	Ostomy Wound Management
01109D6C	Zeitschrift Fur Agyptische Sprache Und Altertumskunde
01141CA1	Journal of Mineralogical and Petrological Sciences
011DC6EE	Case Reports in Medicine
012B965A	Numerical Methods for Partial Differential Equations
01353A94	IEEE Control Systems Magazine
0136B0AC	Journal of Neurosciences in Rural Practice
013E167C	Clefs Cea
013EEC1A	Italian Journal of Medicine
0144A3A9	Journal of Surface Investigation-x-ray Synchrotron and Neutron Techniques
01455CDE	International Journal of Learning and Change
015518EC	Humanomics
0156F4AF	Mondo Ortodontico
015B36ED	The Journal of Aesthetic Education
016F035C	Laser Physics Review
0175FCDC	Journal of Reconstructive Microsurgery
017820FA	School Organisation
017998A3	Trends in Communication
017AAE49	International Journal of Process Systems Engineering
017E613D	Comments on Toxicology
0188C1BC	International Journal of Rock Mechanics and Mining Sciences & Geomechanics Abstracts
018D4ACF	International Journal of E-adoption
0195B623	Forensic Science Medicine and Pathology
01A719FB	Journal of Occupational Health
01AAE139	Zograf
01AC23C9	Structure and Infrastructure Engineering
01B3E12C	Moscow Mathematical Journal
01D42E93	Journal of Sustainable Agriculture
01DAE62B	Genes & Genomics
01DD9CA0	Techtrends
01E52C69	Jahrbucher Fur Geschichte Osteuropas
01EBEC71	Clinical Linguistics & Phonetics
01F70BD5	Quaderni Urbinati Di Cultura Classica
01FBA764	International Journal of Intelligence and Counterintelligence
020E8088	Journal of The Society of Powder Technology, Japan
0217F5F9	Spe Drilling & Completion
02222FAD	Spe Journal
022660A1	Advanced Synthesis & Catalysis
022B2CED	Directions in Science
0238FE4C	Current Treatment Options in Gastroenterology
0252CED1	New Disease Reports
0261F3BF	Human Studies
026F4C97	Journal of The Society of Biomechanisms
027F1408	Arts in Psychotherapy
02866CAB	Russian Politics and Law
02950005	Foundations and Trends in Robotics
02AE2EF8	Browning Institute Studies
02B7909E	ACM Queue
02BECE2E	Interactive Marketing
02C07DCA	Gerontology & Geriatrics Education
02E2ABAB	Jahresbericht Der Deutschen Mathematiker-vereinigung
02F0157F	Pakistan Journal of Biological Sciences
02FB9018	Journal of The Bangladesh Agricultural University
02FEB105	Journal of Computer Science
03040A47	Natural Gas
03142C60	The Journal of World Intellectual Property
0326BF3C	Animal Blood Groups and Biochemical Genetics
03422B00	The Open Rehabilitation Journal
034CD638	Chemistry Central Journal
0371BF06	Senckenbergiana Maritima
0376873A	Journal of School Health
037E617D	Journal of Heat Recovery Systems
038EEF8A	Text and Performance Quarterly
0391CD6A	Chemical and Petroleum Engineering
03982537	The Open Structural Biology Journal
03991409	College Literature
039C158E	Plankton and Benthos Research
03AD724E	Journal of Mechanics
03ADE169	Economics & Sociology
03B1C9B1	Seminars in Anesthesia Perioperative Medicine and Pain
03B88CC5	Nicotine & Tobacco Research
03BB1F4C	Denkbeeld
03C7F618	Journal of Parasitic Diseases
03CBF3B0	Anthropologie
03F24306	International Journal of Laboratory Hematology
0404D138	International Journal of Plant Breeding and Genetics
04094699	Journal of Alloys and Compounds
040A545E	Geological Society, London, Engineering Geology Special Publications
0410D23A	Journal of Protein Chemistry
041BD7FD	World Journal of Biological Psychiatry
04266CD3	Journal of School Psychology
0428A9C6	Urban Design International
0447E7FA	The Women's Oncology Review
044F9E5E	Journal of Technology Management & Innovation
04577CB6	Digital Creativity
045B503E	Bulletin of The Medical Library Association
045DD69E	International Journal of Psychotherapy
045E1008	Psychiatry-interpersonal and Biological Processes
0460BF09	Food Security
